in keypad,out p0,out p1,out p2,out extrude
,0,0,0,0
,0,0,0,0
,0,0,0,0
1,100,100,100,100
,0,0,0,100
,100,0,100,100
,0,0,0,100
,100,0,100,100
,0,0,0,100
,100,100,100,100
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
2,0,0,0,100
,0,100,0,100
,0,100,0,100
,0,0,0,100
,0,100,0,100
,0,100,0,100
,0,0,0,100
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
3,100,100,0,100
,100,100,0,100
,100,100,0,100
,100,100,0,100
,100,100,0,100
,100,100,0,100
,100,100,0,100
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
,0,0,0,0
